n : 3.346745927765495;4.8958898045103165
c! : -4.90471803671007;3.8534412112470218==>: -2.9212437732048278;4.572861692271482
c! : -4.90471803671007;3.8534412112470218==>: -2.543600916314812;2.262662658003695
c! : 2.9903708501128534;2.0468493136319967==>: 3.7877821068037782;0.3257525340468579
c! : 2.9903708501128534;2.0468493136319967==>: 3.346745927765495;4.8958898045103165
c! : 2.9903708501128534;2.0468493136319967==>: 2.449019375600198;1.322393203188338
c! : 2.9903708501128534;2.0468493136319967==>: 3.812244405707478;0.9108482654106957
c! : 2.9903708501128534;2.0468493136319967==>: 2.1814829028529203;2.590720817852416
c! : 2.9903708501128534;2.0468493136319967==>: 1.800461595460531;2.3860786878650453
c! : 2.9903708501128534;2.0468493136319967==>: 3.6896272889464203;0.01119807491355207
c! : 2.9903708501128534;2.0468493136319967==>: 4.140212336096251;0.3989821167996439
c! : 2.9903708501128534;2.0468493136319967==>: 1.1364427721244583;2.891431722781528
c! : -1.8115027799661911;1.1771505513933231==>: -0.9917916589007003;0.5296816699848259
c! : -1.8115027799661911;1.1771505513933231==>: -1.6148092037521042;1.9123589157993548
c! : -1.8115027799661911;1.1771505513933231==>: -2.6098879942863142;1.962357612281843
c! : -1.8115027799661911;1.1771505513933231==>: -0.9792747052628661;-0.23451567208503832
c! : -1.8115027799661911;1.1771505513933231==>: -1.1863231728086818;2.3494738884538933
c! : -1.8115027799661911;1.1771505513933231==>: -2.6772765557098754;1.9848602274802705
c! : -1.8115027799661911;1.1771505513933231==>: -0.6866520372911591;0.9552725498181154
c! : -1.8115027799661911;1.1771505513933231==>: -2.543600916314812;2.262662658003695
c! : 1.9868728401376554;-4.899480266243993==>: 2.330714709439362;-3.53694555125451
c! : 1.9868728401376554;-4.899480266243993==>: 3.443094344052213;-4.393839189758114
c! : 1.9868728401376554;-4.899480266243993==>: 0.29386767114509915;-3.5440369862428645
c! : 1.9868728401376554;-4.899480266243993==>: 2.07999196668207;-3.9673007466153463
c! : 1.9868728401376554;-4.899480266243993==>: 4.313753120920772;-4.924643616568409
c! : 1.9868728401376554;-4.899480266243993==>: -0.06977599543877311;-4.050838078441203
c! : 1.3766950187269513;-3.7196089123663647==>: -0.40754665419793223;-3.840170007492767
c! : 1.3766950187269513;-3.7196089123663647==>: 0.5932833179324142;-2.677255049749422
c! : 1.3766950187269513;-3.7196089123663647==>: 2.330714709439362;-3.53694555125451
c! : 1.3766950187269513;-3.7196089123663647==>: 2.5378187777881145;-2.8747176259991667
c! : 1.3766950187269513;-3.7196089123663647==>: 0.49523381164462776;-2.7840531144542293
c! : 1.3766950187269513;-3.7196089123663647==>: 2.07999196668207;-3.9673007466153463
c! : 1.3766950187269513;-3.7196089123663647==>: 0.5267033986356946;-2.468028360580675
c! : 1.3766950187269513;-3.7196089123663647==>: -0.06977599543877311;-4.050838078441203
c! : -0.2779576493519915;4.634066018906658==>: -1.230429119761156;4.446449059841726
c! : -0.2779576493519915;4.634066018906658==>: -0.49814613417689113;3.0231955404547985
c! : -0.2779576493519915;4.634066018906658==>: -1.7757031027056036;4.98101362681791
c! : -0.2779576493519915;4.634066018906658==>: 0.2940158340945187;4.284522003476162
c! : 4.827247708606087;-0.6093478395098009==>: 3.7877821068037782;0.3257525340468579
c! : 4.827247708606087;-0.6093478395098009==>: 3.9317054012279087;-2.2845566638203376
c! : 4.827247708606087;-0.6093478395098009==>: 4.188835617056029;1.6377225248233476
c! : 4.827247708606087;-0.6093478395098009==>: 3.812244405707478;0.9108482654106957
c! : 4.827247708606087;-0.6093478395098009==>: 4.140212336096251;0.3989821167996439
c! : 4.827247708606087;-0.6093478395098009==>: 3.6896272889464203;0.01119807491355207
c! : 4.827247708606087;-0.6093478395098009==>: 4.688930164951959;-0.9627163143799313
c! : 4.827247708606087;-0.6093478395098009==>: 3.974387245691114;-2.6991792567323056
c! : 4.827247708606087;-0.6093478395098009==>: 3.7077976793417804;-0.19712049830954825
c! : 1.1364427721244583;2.891431722781528==>: 2.449019375600198;1.322393203188338
c! : 1.1364427721244583;2.891431722781528==>: 2.1957630919409343;2.697544260975002
c! : 1.1364427721244583;2.891431722781528==>: 2.9903708501128534;2.0468493136319967
c! : 1.1364427721244583;2.891431722781528==>: 1.800461595460531;2.3860786878650453
c! : -0.8870514017437952;0.2698285065776602==>: -0.9917916589007003;0.5296816699848259
c! : -0.8870514017437952;0.2698285065776602==>: -0.6009090828015493;-0.2890248620012841
c! : -0.8870514017437952;0.2698285065776602==>: -0.9792747052628661;-0.23451567208503832
c! : -0.8870514017437952;0.2698285065776602==>: -1.541863811221674;-0.7376819310718519
c! : -0.8870514017437952;0.2698285065776602==>: -0.5288455261605254;-1.2760568703132948
c! : -0.8870514017437952;0.2698285065776602==>: -0.6866520372911591;0.9552725498181154
c! : -0.6009090828015493;-0.2890248620012841==>: -0.9917916589007003;0.5296816699848259
c! : -0.6009090828015493;-0.2890248620012841==>: -0.8870514017437952;0.2698285065776602
c! : -0.6009090828015493;-0.2890248620012841==>: -2.028483177520889;0.11205342867562784
c! : -0.6009090828015493;-0.2890248620012841==>: 0.9808548784506268;-0.5875718490116757
c! : -0.6009090828015493;-0.2890248620012841==>: -1.541863811221674;-0.7376819310718519
c! : -0.6009090828015493;-0.2890248620012841==>: -0.5288455261605254;-1.2760568703132948
c! : -0.6009090828015493;-0.2890248620012841==>: -0.6866520372911591;0.9552725498181154
c! : -0.6009090828015493;-0.2890248620012841==>: 1.1624636470736416;-0.9571171628060524
c! : -2.3349352062462394;4.546197755984144==>: -3.4571279059298945;3.712094503560838
c! : -2.3349352062462394;4.546197755984144==>: -4.254437308814155;4.698884383939511
c! : -2.3349352062462394;4.546197755984144==>: -1.9233521798715736;4.054208095357533
c! : -2.3349352062462394;4.546197755984144==>: -2.9212437732048278;4.572861692271482
c! : -2.3349352062462394;4.546197755984144==>: -2.6894344350232435;4.5593895048275375
c! : 0.9808548784506268;-0.5875718490116757==>: 0.5932833179324142;-2.677255049749422
c! : 0.9808548784506268;-0.5875718490116757==>: -0.6009090828015493;-0.2890248620012841
c! : 0.9808548784506268;-0.5875718490116757==>: -0.9792747052628661;-0.23451567208503832
c! : 0.9808548784506268;-0.5875718490116757==>: -0.5288455261605254;-1.2760568703132948
c! : 0.9808548784506268;-0.5875718490116757==>: 2.0661148900019715;-0.43406582043465924
c! : 0.9808548784506268;-0.5875718490116757==>: 0.5267033986356946;-2.468028360580675
c! : -2.6772765557098754;1.9848602274802705==>: -1.6148092037521042;1.9123589157993548
c! : -2.6772765557098754;1.9848602274802705==>: -2.0356348555469896;3.5368857833215532
c! : -2.6772765557098754;1.9848602274802705==>: -2.6098879942863142;1.962357612281843
c! : -2.6772765557098754;1.9848602274802705==>: -1.8115027799661911;1.1771505513933231
c! : -2.6772765557098754;1.9848602274802705==>: -1.1863231728086818;2.3494738884538933
c! : -2.6772765557098754;1.9848602274802705==>: -2.5996599600119605;1.0100384733886845
c! : -2.6772765557098754;1.9848602274802705==>: -3.40441631683977;2.506983916299797
c! : 2.0661148900019715;-0.43406582043465924==>: 2.449019375600198;1.322393203188338
c! : 2.0661148900019715;-0.43406582043465924==>: 0.9808548784506268;-0.5875718490116757
c! : 2.0661148900019715;-0.43406582043465924==>: 4.140212336096251;0.3989821167996439
c! : 2.0661148900019715;-0.43406582043465924==>: 3.7077976793417804;-0.19712049830954825
c! : 1.1624636470736416;-0.9571171628060524==>: 0.5932833179324142;-2.677255049749422
c! : 1.1624636470736416;-0.9571171628060524==>: -0.6009090828015493;-0.2890248620012841
c! : 1.1624636470736416;-0.9571171628060524==>: 0.49523381164462776;-2.7840531144542293
c! : 1.1624636470736416;-0.9571171628060524==>: -0.9792747052628661;-0.23451567208503832
c! : 1.1624636470736416;-0.9571171628060524==>: 2.2469597990901624;-0.08157672821381645
c! : 1.1624636470736416;-0.9571171628060524==>: -0.5288455261605254;-1.2760568703132948
c! : 1.1624636470736416;-0.9571171628060524==>: 0.5267033986356946;-2.468028360580675
c! : 2.9044702539003433;-4.653510653941446==>: 2.330714709439362;-3.53694555125451
c! : 2.9044702539003433;-4.653510653941446==>: 3.443094344052213;-4.393839189758114
c! : 2.9044702539003433;-4.653510653941446==>: 4.313753120920772;-4.924643616568409
c! : 2.9044702539003433;-4.653510653941446==>: 2.07999196668207;-3.9673007466153463
c! : 2.9044702539003433;-4.653510653941446==>: 4.609936284494749;-3.4020961679695114
c! : 2.9044702539003433;-4.653510653941446==>: 4.176876219297936;-4.252979221084505
c! : -4.426756795290131;-1.9179562177121645==>: -2.7822713169408098;-0.5710123652626837
c! : -4.426756795290131;-1.9179562177121645==>: -2.844513359124008;-3.0741202628407427
c! : -4.426756795290131;-1.9179562177121645==>: -4.225434639815942;-1.1067837131428782
c! : 4.188835617056029;1.6377225248233476==>: 2.449019375600198;1.322393203188338
c! : 4.188835617056029;1.6377225248233476==>: 2.1957630919409343;2.697544260975002
c! : 4.188835617056029;1.6377225248233476==>: 3.812244405707478;0.9108482654106957
c! : 4.188835617056029;1.6377225248233476==>: 3.7077976793417804;-0.19712049830954825
c! : 4.188835617056029;1.6377225248233476==>: 4.827247708606087;-0.6093478395098009
c! : -2.6098879942863142;1.962357612281843==>: -1.6148092037521042;1.9123589157993548
c! : -2.6098879942863142;1.962357612281843==>: -4.453228152106886;1.7075775601661256
c! : -2.6098879942863142;1.962357612281843==>: -1.8115027799661911;1.1771505513933231
c! : -2.6098879942863142;1.962357612281843==>: -1.6413507078111191;2.741815268570128
c! : -2.6098879942863142;1.962357612281843==>: -2.6772765557098754;1.9848602274802705
c! : -2.6098879942863142;1.962357612281843==>: -1.1863231728086818;2.3494738884538933
c! : -2.6098879942863142;1.962357612281843==>: -2.543600916314812;2.262662658003695
c! : -2.6098879942863142;1.962357612281843==>: -3.40441631683977;2.506983916299797
c! : 0.29386767114509915;-3.5440369862428645==>: -0.40754665419793223;-3.840170007492767
c! : 0.29386767114509915;-3.5440369862428645==>: 0.5932833179324142;-2.677255049749422
c! : 0.29386767114509915;-3.5440369862428645==>: -1.686269932667833;-3.9366482085946917
c! : 0.29386767114509915;-3.5440369862428645==>: 1.9868728401376554;-4.899480266243993
c! : 0.29386767114509915;-3.5440369862428645==>: 2.07999196668207;-3.9673007466153463
c! : -3.0090845528267818;-4.858523642326747==>: -3.4616562138368687;-2.8482841119583524
c! : -3.0090845528267818;-4.858523642326747==>: -1.686269932667833;-3.9366482085946917
c! : -3.0090845528267818;-4.858523642326747==>: -4.913412497661382;-3.3533262596454927
c! : -3.0090845528267818;-4.858523642326747==>: -2.844513359124008;-3.0741202628407427
c! : -3.0090845528267818;-4.858523642326747==>: -3.9253839127377566;-4.869292875688604
c! : -3.0090845528267818;-4.858523642326747==>: -0.6885962315551737;-2.713680354685547
c! : -3.0090845528267818;-4.858523642326747==>: -2.916493547041693;-1.7775692958900269
c! : -3.0090845528267818;-4.858523642326747==>: -0.06977599543877311;-4.050838078441203
c! : 3.6896272889464203;0.01119807491355207==>: 3.7877821068037782;0.3257525340468579
c! : 3.6896272889464203;0.01119807491355207==>: 3.812244405707478;0.9108482654106957
c! : 3.6896272889464203;0.01119807491355207==>: 2.9903708501128534;2.0468493136319967
c! : 3.6896272889464203;0.01119807491355207==>: 2.2469597990901624;-0.08157672821381645
c! : 3.6896272889464203;0.01119807491355207==>: 4.140212336096251;0.3989821167996439
c! : 3.6896272889464203;0.01119807491355207==>: 1.43745951731408;-0.19897477356140492
c! : 3.6896272889464203;0.01119807491355207==>: 4.827247708606087;-0.6093478395098009
c! : -2.543600916314812;2.262662658003695==>: -4.90471803671007;3.8534412112470218
c! : -2.543600916314812;2.262662658003695==>: -1.6478261574940012;3.0227193310088225
c! : -2.543600916314812;2.262662658003695==>: -1.6148092037521042;1.9123589157993548
c! : -2.543600916314812;2.262662658003695==>: -2.0356348555469896;3.5368857833215532
c! : -2.543600916314812;2.262662658003695==>: -2.6098879942863142;1.962357612281843
c! : -2.543600916314812;2.262662658003695==>: -1.8115027799661911;1.1771505513933231
c! : -2.543600916314812;2.262662658003695==>: -1.1863231728086818;2.3494738884538933
c! : -2.543600916314812;2.262662658003695==>: -3.40441631683977;2.506983916299797
c! : 3.7077976793417804;-0.19712049830954825==>: 3.7877821068037782;0.3257525340468579
c! : 3.7077976793417804;-0.19712049830954825==>: 2.449019375600198;1.322393203188338
c! : 3.7077976793417804;-0.19712049830954825==>: 4.188835617056029;1.6377225248233476
c! : 3.7077976793417804;-0.19712049830954825==>: 2.2469597990901624;-0.08157672821381645
c! : 3.7077976793417804;-0.19712049830954825==>: 4.688930164951959;-0.9627163143799313
c! : 3.7077976793417804;-0.19712049830954825==>: 2.0661148900019715;-0.43406582043465924
c! : 3.7077976793417804;-0.19712049830954825==>: 1.43745951731408;-0.19897477356140492
c! : 3.7077976793417804;-0.19712049830954825==>: 4.827247708606087;-0.6093478395098009
c! : -3.40441631683977;2.506983916299797==>: -2.0356348555469896;3.5368857833215532
c! : -3.40441631683977;2.506983916299797==>: -2.6098879942863142;1.962357612281843
c! : -3.40441631683977;2.506983916299797==>: -2.6772765557098754;1.9848602274802705
c! : -3.40441631683977;2.506983916299797==>: -4.254437308814155;4.698884383939511
c! : -3.40441631683977;2.506983916299797==>: -3.2167569822621136;3.7693441109565935
c! : -3.40441631683977;2.506983916299797==>: -2.543600916314812;2.262662658003695
c! : 0.5267033986356946;-2.468028360580675==>: 0.9808548784506268;-0.5875718490116757
c! : 0.5267033986356946;-2.468028360580675==>: 0.49523381164462776;-2.7840531144542293
c! : 0.5267033986356946;-2.468028360580675==>: 1.3766950187269513;-3.7196089123663647
c! : 0.5267033986356946;-2.468028360580675==>: -0.5288455261605254;-1.2760568703132948
c! : 0.5267033986356946;-2.468028360580675==>: -0.6885962315551737;-2.713680354685547
c! : 0.5267033986356946;-2.468028360580675==>: 1.1624636470736416;-0.9571171628060524
c! : 0.5267033986356946;-2.468028360580675==>: -0.06977599543877311;-4.050838078441203
c! : -1.230429119761156;4.446449059841726==>: -1.7757031027056036;4.98101362681791
c! : -1.230429119761156;4.446449059841726==>: -0.14709359528211952;4.596168964196233
c! : -1.230429119761156;4.446449059841726==>: -2.0356348555469896;3.5368857833215532
c! : -1.230429119761156;4.446449059841726==>: -0.2779576493519915;4.634066018906658
c! : -1.230429119761156;4.446449059841726==>: -2.9212437732048278;4.572861692271482
c! : -1.230429119761156;4.446449059841726==>: -1.9233521798715736;4.054208095357533
c! : -1.230429119761156;4.446449059841726==>: 0.2940158340945187;4.284522003476162
c! : -1.230429119761156;4.446449059841726==>: -1.6203226369268364;4.087118484056688
c! : -1.230429119761156;4.446449059841726==>: -2.6894344350232435;4.5593895048275375
c! : -4.254437308814155;4.698884383939511==>: -3.4571279059298945;3.712094503560838
c! : -4.254437308814155;4.698884383939511==>: -2.3349352062462394;4.546197755984144
c! : -4.254437308814155;4.698884383939511==>: -2.0356348555469896;3.5368857833215532
c! : -4.254437308814155;4.698884383939511==>: -1.9233521798715736;4.054208095357533
c! : -4.254437308814155;4.698884383939511==>: -3.2167569822621136;3.7693441109565935
c! : -4.254437308814155;4.698884383939511==>: -3.40441631683977;2.506983916299797
c! : -4.254437308814155;4.698884383939511==>: -2.6894344350232435;4.5593895048275375
c! : 2.07999196668207;-3.9673007466153463==>: 2.9044702539003433;-4.653510653941446
c! : 2.07999196668207;-3.9673007466153463==>: 2.330714709439362;-3.53694555125451
c! : 2.07999196668207;-3.9673007466153463==>: 0.5932833179324142;-2.677255049749422
c! : 2.07999196668207;-3.9673007466153463==>: 0.49523381164462776;-2.7840531144542293
c! : 2.07999196668207;-3.9673007466153463==>: 1.9868728401376554;-4.899480266243993
c! : 2.07999196668207;-3.9673007466153463==>: 1.3766950187269513;-3.7196089123663647
c! : 2.07999196668207;-3.9673007466153463==>: 0.29386767114509915;-3.5440369862428645
c! : 2.07999196668207;-3.9673007466153463==>: -0.06977599543877311;-4.050838078441203
c! : 4.313753120920772;-4.924643616568409==>: 2.9044702539003433;-4.653510653941446
c! : 4.313753120920772;-4.924643616568409==>: 2.330714709439362;-3.53694555125451
c! : 4.313753120920772;-4.924643616568409==>: 3.443094344052213;-4.393839189758114
c! : 4.313753120920772;-4.924643616568409==>: 1.9868728401376554;-4.899480266243993
c! : 4.313753120920772;-4.924643616568409==>: 4.654013239782801;-4.091040223028139
c! : 4.313753120920772;-4.924643616568409==>: 3.974387245691114;-2.6991792567323056
c! : 4.313753120920772;-4.924643616568409==>: 4.176876219297936;-4.252979221084505
c! : -4.225434639815942;-1.1067837131428782==>: -4.426756795290131;-1.9179562177121645
c! : -4.225434639815942;-1.1067837131428782==>: -2.7822713169408098;-0.5710123652626837
c! : -4.225434639815942;-1.1067837131428782==>: -3.4616562138368687;-2.8482841119583524
c! : -4.225434639815942;-1.1067837131428782==>: -4.913412497661382;-3.3533262596454927
c! : -4.225434639815942;-1.1067837131428782==>: -3.475421605036958;-0.37544611995350063
c! : -4.225434639815942;-1.1067837131428782==>: -2.4181766470836963;-0.5152247461687445
c! : -4.363712829742832;1.2609395775849919==>: -3.6222768201360065;0.498899490925659
c! : -4.363712829742832;1.2609395775849919==>: -4.90471803671007;3.8534412112470218
c! : 3.812244405707478;0.9108482654106957==>: 2.449019375600198;1.322393203188338
c! : 3.812244405707478;0.9108482654106957==>: 4.188835617056029;1.6377225248233476
c! : 3.812244405707478;0.9108482654106957==>: 2.9903708501128534;2.0468493136319967
c! : 3.812244405707478;0.9108482654106957==>: 2.2469597990901624;-0.08157672821381645
c! : 3.812244405707478;0.9108482654106957==>: 3.6896272889464203;0.01119807491355207
c! : 3.812244405707478;0.9108482654106957==>: 4.827247708606087;-0.6093478395098009
c! : 2.1814829028529203;2.590720817852416==>: 2.449019375600198;1.322393203188338
c! : 2.1814829028529203;2.590720817852416==>: 2.9903708501128534;2.0468493136319967
c! : 2.1814829028529203;2.590720817852416==>: 1.800461595460531;2.3860786878650453
c! : 2.1814829028529203;2.590720817852416==>: 0.13542057879749514;2.472108201985309
c! : 2.1814829028529203;2.590720817852416==>: 0.2940158340945187;4.284522003476162
c! : 2.2469597990901624;-0.08157672821381645==>: 3.7877821068037782;0.3257525340468579
c! : 2.2469597990901624;-0.08157672821381645==>: 2.449019375600198;1.322393203188338
c! : 2.2469597990901624;-0.08157672821381645==>: 3.812244405707478;0.9108482654106957
c! : 2.2469597990901624;-0.08157672821381645==>: 3.6896272889464203;0.01119807491355207
c! : 2.2469597990901624;-0.08157672821381645==>: 1.1624636470736416;-0.9571171628060524
c! : 2.2469597990901624;-0.08157672821381645==>: 3.7077976793417804;-0.19712049830954825
c! : -3.2167569822621136;3.7693441109565935==>: -1.7757031027056036;4.98101362681791
c! : -3.2167569822621136;3.7693441109565935==>: -4.254437308814155;4.698884383939511
c! : -3.2167569822621136;3.7693441109565935==>: -1.9233521798715736;4.054208095357533
c! : -3.2167569822621136;3.7693441109565935==>: -3.40441631683977;2.506983916299797
c! : -3.2167569822621136;3.7693441109565935==>: -2.6894344350232435;4.5593895048275375
c! : 3.443094344052213;-4.393839189758114==>: 2.9044702539003433;-4.653510653941446
c! : 3.443094344052213;-4.393839189758114==>: 2.330714709439362;-3.53694555125451
c! : 3.443094344052213;-4.393839189758114==>: 2.5378187777881145;-2.8747176259991667
c! : 3.443094344052213;-4.393839189758114==>: 1.9868728401376554;-4.899480266243993
c! : 3.443094344052213;-4.393839189758114==>: 4.313753120920772;-4.924643616568409
c! : 3.443094344052213;-4.393839189758114==>: 4.609936284494749;-3.4020961679695114
c! : 3.443094344052213;-4.393839189758114==>: 4.176876219297936;-4.252979221084505
c! : -2.010845611031211;-1.7140559021405366==>: -2.7822713169408098;-0.5710123652626837
c! : -2.010845611031211;-1.7140559021405366==>: -3.4616562138368687;-2.8482841119583524
c! : -2.010845611031211;-1.7140559021405366==>: -2.3927096357339597;-0.44462704461263414
c! : -2.010845611031211;-1.7140559021405366==>: -2.844513359124008;-3.0741202628407427
c! : -2.010845611031211;-1.7140559021405366==>: -1.541863811221674;-0.7376819310718519
c! : -2.010845611031211;-1.7140559021405366==>: -3.161439907639659;-3.521382203554171
c! : -2.010845611031211;-1.7140559021405366==>: -0.5288455261605254;-1.2760568703132948
c! : -2.010845611031211;-1.7140559021405366==>: -3.9253839127377566;-4.869292875688604
c! : -2.010845611031211;-1.7140559021405366==>: -1.9042864437564102;-1.598772885752652
c! : -2.010845611031211;-1.7140559021405366==>: -0.6885962315551737;-2.713680354685547
c! : -2.010845611031211;-1.7140559021405366==>: -2.4181766470836963;-0.5152247461687445
c! : -2.010845611031211;-1.7140559021405366==>: -2.916493547041693;-1.7775692958900269
c! : -2.028483177520889;0.11205342867562784==>: -0.9917916589007003;0.5296816699848259
c! : -2.028483177520889;0.11205342867562784==>: -0.6009090828015493;-0.2890248620012841
c! : -2.028483177520889;0.11205342867562784==>: -2.5996599600119605;1.0100384733886845
c! : -0.14709359528211952;4.596168964196233==>: 3.346745927765495;4.8958898045103165
c! : -0.14709359528211952;4.596168964196233==>: -1.230429119761156;4.446449059841726
c! : -0.14709359528211952;4.596168964196233==>: -0.49814613417689113;3.0231955404547985
c! : -0.14709359528211952;4.596168964196233==>: -1.7757031027056036;4.98101362681791
c! : 1.800461595460531;2.3860786878650453==>: 3.346745927765495;4.8958898045103165
c! : 1.800461595460531;2.3860786878650453==>: 2.449019375600198;1.322393203188338
c! : 1.800461595460531;2.3860786878650453==>: -0.49814613417689113;3.0231955404547985
c! : 1.800461595460531;2.3860786878650453==>: 2.1957630919409343;2.697544260975002
c! : 1.800461595460531;2.3860786878650453==>: 2.9903708501128534;2.0468493136319967
c! : 1.800461595460531;2.3860786878650453==>: 2.1814829028529203;2.590720817852416
c! : 1.800461595460531;2.3860786878650453==>: 0.13542057879749514;2.472108201985309
c! : 1.800461595460531;2.3860786878650453==>: -0.5657528482138705;2.8355522033568956
c! : 1.800461595460531;2.3860786878650453==>: 1.1364427721244583;2.891431722781528
c! : -3.559988064239783;0.012824044629924813==>: -3.6222768201360065;0.498899490925659
